row,source_protein,target_protein,source_ensg,target_ensg,source_symbol,target_symbol
1080,P17693,Q99706,ENSG00000204632,ENSG00000273575,HLA-G,KIR2DL4
1081,P17693,Q99706,ENSG00000204632,ENSG00000274232,HLA-G,KIR2DL4
1082,P17693,Q99706,ENSG00000204632,ENSG00000278271,HLA-G,KIR2DL4
1083,P17693,Q99706,ENSG00000204632,ENSG00000284460,HLA-G,KIR2DL4
1084,P17693,Q99706,ENSG00000204632,ENSG00000277362,HLA-G,KIR2DL4
1085,P17693,Q99706,ENSG00000204632,ENSG00000276779,HLA-G,KIR2DL4
1086,P17693,Q99706,ENSG00000204632,ENSG00000277750,HLA-G,KIR2DL4
1087,P17693,Q99706,ENSG00000204632,ENSG00000275699,HLA-G,KIR2DL4
1088,P17693,Q99706,ENSG00000204632,ENSG00000189013,HLA-G,KIR2DL4
1089,P17693,Q99706,ENSG00000204632,ENSG00000275317,HLA-G,KIR2DL4
1090,P17693,Q99706,ENSG00000204632,ENSG00000275456,HLA-G,KIR2DL4
1091,P17693,Q99706,ENSG00000204632,ENSG00000284013,HLA-G,KIR2DL4
1092,P17693,Q99706,ENSG00000204632,ENSG00000284509,HLA-G,KIR2DL4
1093,P17693,Q99706,ENSG00000204632,ENSG00000284365,HLA-G,KIR2DL4
1094,P17693,Q99706,ENSG00000204632,ENSG00000283961,HLA-G,KIR2DL4
1095,P17693,Q99706,ENSG00000230413,ENSG00000277964,HLA-G,KIR2DL4
1096,P17693,Q99706,ENSG00000230413,ENSG00000283869,HLA-G,KIR2DL4
1097,P17693,Q99706,ENSG00000230413,ENSG00000278074,HLA-G,KIR2DL4
1098,P17693,Q99706,ENSG00000230413,ENSG00000274609,HLA-G,KIR2DL4
1099,P17693,Q99706,ENSG00000230413,ENSG00000274955,HLA-G,KIR2DL4
1100,P17693,Q99706,ENSG00000230413,ENSG00000276044,HLA-G,KIR2DL4
1101,P17693,Q99706,ENSG00000230413,ENSG00000278430,HLA-G,KIR2DL4
1102,P17693,Q99706,ENSG00000230413,ENSG00000273575,HLA-G,KIR2DL4
1103,P17693,Q99706,ENSG00000230413,ENSG00000274232,HLA-G,KIR2DL4
1104,P17693,Q99706,ENSG00000230413,ENSG00000278271,HLA-G,KIR2DL4
1105,P17693,Q99706,ENSG00000230413,ENSG00000284460,HLA-G,KIR2DL4
1106,P17693,Q99706,ENSG00000230413,ENSG00000277362,HLA-G,KIR2DL4
1107,P17693,Q99706,ENSG00000230413,ENSG00000276779,HLA-G,KIR2DL4
1108,P17693,Q99706,ENSG00000230413,ENSG00000277750,HLA-G,KIR2DL4
1109,P17693,Q99706,ENSG00000230413,ENSG00000275699,HLA-G,KIR2DL4
1110,P17693,Q99706,ENSG00000230413,ENSG00000189013,HLA-G,KIR2DL4
1111,P17693,Q99706,ENSG00000230413,ENSG00000275317,HLA-G,KIR2DL4
1112,P17693,Q99706,ENSG00000230413,ENSG00000275456,HLA-G,KIR2DL4
1113,P17693,Q99706,ENSG00000230413,ENSG00000284013,HLA-G,KIR2DL4
1114,P17693,Q99706,ENSG00000230413,ENSG00000284509,HLA-G,KIR2DL4
1115,P17693,Q99706,ENSG00000230413,ENSG00000284365,HLA-G,KIR2DL4
1116,P17693,Q99706,ENSG00000230413,ENSG00000283961,HLA-G,KIR2DL4
1117,P17693,Q99706,ENSG00000233095,ENSG00000277964,HLA-G,KIR2DL4
1118,P17693,Q99706,ENSG00000233095,ENSG00000283869,HLA-G,KIR2DL4
1119,P17693,Q99706,ENSG00000233095,ENSG00000278074,HLA-G,KIR2DL4
1120,P17693,Q99706,ENSG00000233095,ENSG00000274609,HLA-G,KIR2DL4
1121,P17693,Q99706,ENSG00000233095,ENSG00000274955,HLA-G,KIR2DL4
1122,P17693,Q99706,ENSG00000233095,ENSG00000276044,HLA-G,KIR2DL4
1123,P17693,Q99706,ENSG00000233095,ENSG00000278430,HLA-G,KIR2DL4
1124,P17693,Q99706,ENSG00000233095,ENSG00000273575,HLA-G,KIR2DL4
1125,P17693,Q99706,ENSG00000233095,ENSG00000274232,HLA-G,KIR2DL4
1126,P17693,Q99706,ENSG00000233095,ENSG00000278271,HLA-G,KIR2DL4
1127,P17693,Q99706,ENSG00000233095,ENSG00000284460,HLA-G,KIR2DL4
1128,P17693,Q99706,ENSG00000233095,ENSG00000277362,HLA-G,KIR2DL4
1129,P17693,Q99706,ENSG00000233095,ENSG00000276779,HLA-G,KIR2DL4
1130,P17693,Q99706,ENSG00000233095,ENSG00000277750,HLA-G,KIR2DL4
1131,P17693,Q99706,ENSG00000233095,ENSG00000275699,HLA-G,KIR2DL4
1132,P17693,Q99706,ENSG00000233095,ENSG00000189013,HLA-G,KIR2DL4
1133,P17693,Q99706,ENSG00000233095,ENSG00000275317,HLA-G,KIR2DL4
1134,P17693,Q99706,ENSG00000233095,ENSG00000275456,HLA-G,KIR2DL4
1135,P17693,Q99706,ENSG00000233095,ENSG00000284013,HLA-G,KIR2DL4
1136,P17693,Q99706,ENSG00000233095,ENSG00000284509,HLA-G,KIR2DL4
1137,P17693,Q99706,ENSG00000233095,ENSG00000284365,HLA-G,KIR2DL4
1138,P17693,Q99706,ENSG00000233095,ENSG00000283961,HLA-G,KIR2DL4
1139,P17693,Q99706,ENSG00000235680,ENSG00000277964,HLA-G,KIR2DL4
1140,P17693,Q99706,ENSG00000235680,ENSG00000283869,HLA-G,KIR2DL4
1141,P17693,Q99706,ENSG00000235680,ENSG00000278074,HLA-G,KIR2DL4
1142,P17693,Q99706,ENSG00000235680,ENSG00000274609,HLA-G,KIR2DL4
1143,P17693,Q99706,ENSG00000235680,ENSG00000274955,HLA-G,KIR2DL4
1144,P17693,Q99706,ENSG00000235680,ENSG00000276044,HLA-G,KIR2DL4
1145,P17693,Q99706,ENSG00000235680,ENSG00000278430,HLA-G,KIR2DL4
1146,P17693,Q99706,ENSG00000235680,ENSG00000273575,HLA-G,KIR2DL4
1147,P17693,Q99706,ENSG00000235680,ENSG00000274232,HLA-G,KIR2DL4
1148,P17693,Q99706,ENSG00000235680,ENSG00000278271,HLA-G,KIR2DL4
1149,P17693,Q99706,ENSG00000235680,ENSG00000284460,HLA-G,KIR2DL4
1150,P17693,Q99706,ENSG00000235680,ENSG00000277362,HLA-G,KIR2DL4
1151,P17693,Q99706,ENSG00000235680,ENSG00000276779,HLA-G,KIR2DL4
1152,P17693,Q99706,ENSG00000235680,ENSG00000277750,HLA-G,KIR2DL4
1153,P17693,Q99706,ENSG00000235680,ENSG00000275699,HLA-G,KIR2DL4
1154,P17693,Q99706,ENSG00000235680,ENSG00000189013,HLA-G,KIR2DL4
1155,P17693,Q99706,ENSG00000235680,ENSG00000275317,HLA-G,KIR2DL4
1156,P17693,Q99706,ENSG00000235680,ENSG00000275456,HLA-G,KIR2DL4
1157,P17693,Q99706,ENSG00000235680,ENSG00000284013,HLA-G,KIR2DL4
1158,P17693,Q99706,ENSG00000235680,ENSG00000284509,HLA-G,KIR2DL4
1159,P17693,Q99706,ENSG00000235680,ENSG00000284365,HLA-G,KIR2DL4
1160,P17693,Q99706,ENSG00000235680,ENSG00000283961,HLA-G,KIR2DL4
1161,Q9Y490,P05106,ENSG00000137076,ENSG00000259207,TLN1,ITGB3
1162,P56706,Q9ULW2,ENSG00000188064,ENSG00000111432,WNT7B,FZD10
1163,P52803,P29317,ENSG00000184349,ENSG00000142627,EFNA5,EPHA2
1164,O14788,Q9Y6Q6,ENSG00000120659,ENSG00000141655,TNFSF11,TNFRSF11A
1165,O43157,Q92854,ENSG00000164050,ENSG00000187764,PLXNB1,SEMA4D
1166,Q92854,O43157,ENSG00000187764,ENSG00000164050,SEMA4D,PLXNB1
1167,P06307,P32238,ENSG00000187094,ENSG00000163394,CCK,CCKAR
1168,Q6KF10,P36894,ENSG00000156466,ENSG00000107779,GDF6,BMPR1A
1169,P56704,O75197,ENSG00000154342,ENSG00000162337,WNT3A,LRP5
1170,Q9H1J5,O75197,ENSG00000061492,ENSG00000162337,WNT8A,LRP5
1171,Q5JWF2,P50406,ENSG00000087460,ENSG00000158748,GNAS,HTR6
1172,Q5JWF2,Q13258,ENSG00000087460,ENSG00000168229,GNAS,PTGDR
1173,O00230,Q92847,ENSG00000241563,ENSG00000121853,CORT,GHSR
1174,O95393,P37023,ENSG00000163217,ENSG00000139567,BMP10,ACVRL1
1175,Q96FE5,Q9NQC3,ENSG00000169783,ENSG00000115310,LINGO1,RTN4
1176,Q9NQC3,Q96FE5,ENSG00000115310,ENSG00000169783,RTN4,LINGO1
1177,Q5JWF2,P43119,ENSG00000087460,ENSG00000160013,GNAS,PTGIR
1178,P0DP25,P00533,ENSG00000160014,ENSG00000146648,CALM3,EGFR
1179,P0DP25,P06213,ENSG00000160014,ENSG00000171105,CALM3,INSR
1180,Q99748,P07949,ENSG00000171119,ENSG00000165731,NRTN,RET
1181,P04083,P00533,ENSG00000135046,ENSG00000146648,ANXA1,EGFR
1182,Q99748,P56159,ENSG00000171119,ENSG00000151892,NRTN,GFRA1
1183,P0DP24,P06213,ENSG00000143933,ENSG00000171105,CALM2,INSR
1184,Q96NI6,P10586,ENSG00000165379,ENSG00000142949,LRFN5,PTPRF
1185,P01374,P36941,ENSG00000231408,ENSG00000111321,LTA,LTBR
1186,P01374,P36941,ENSG00000230279,ENSG00000111321,LTA,LTBR
1187,P01374,P36941,ENSG00000226979,ENSG00000111321,LTA,LTBR
1188,Q13253,P18075,ENSG00000183691,ENSG00000101144,NOG,BMP7
1189,P42127,O75882,ENSG00000101440,ENSG00000088812,ASIP,ATRN
1190,Q13253,P12643,ENSG00000183691,ENSG00000125845,NOG,BMP2
1191,P48023,O95407,ENSG00000117560,ENSG00000243509,FASLG,TNFRSF6B
1192,Q9HBE4,P31785,ENSG00000138684,ENSG00000147168,IL21,IL2RG
1193,O00253,Q01718,ENSG00000159723,ENSG00000185231,AGRP,MC2R
1194,Q14116,Q13478,ENSG00000150782,ENSG00000115604,IL18,IL18R1
1195,Q8NFZ4,Q9ULB1,ENSG00000283859,ENSG00000179915,NLGN2,NRXN1
1196,Q8NFZ4,Q9ULB1,ENSG00000169992,ENSG00000179915,NLGN2,NRXN1
1197,Q9ULB1,Q8NFZ4,ENSG00000179915,ENSG00000283859,NRXN1,NLGN2
1198,Q9ULB1,Q8NFZ4,ENSG00000179915,ENSG00000169992,NRXN1,NLGN2
1199,Q02747,P25092,ENSG00000197273,ENSG00000070019,GUCA2A,GUCY2C
1200,Q9NZ94,Q9ULB1,ENSG00000196338,ENSG00000179915,NLGN3,NRXN1
1201,Q9ULB1,Q9NZ94,ENSG00000179915,ENSG00000196338,NRXN1,NLGN3
1202,P01009,Q07954,ENSG00000197249,ENSG00000123384,SERPINA1,LRP1
1203,P05362,P20701,ENSG00000090339,ENSG00000005844,ICAM1,ITGAL
1204,Q92913,Q14524,ENSG00000129682,ENSG00000183873,FGF13,SCN5A
1205,P78509,P98155,ENSG00000189056,ENSG00000147852,RELN,VLDLR
1206,O95631,O95185,ENSG00000065320,ENSG00000182168,NTN1,UNC5C
1207,P05230,P22455,ENSG00000113578,ENSG00000160867,FGF1,FGFR4
1208,P08174,P48960,ENSG00000196352,ENSG00000123146,CD55,ADGRE5
1209,Q9HB63,Q6ZN44,ENSG00000074527,ENSG00000113763,NTN4,UNC5A
1210,O96014,Q9NPG1,ENSG00000085741,ENSG00000104290,WNT11,FZD3
1211,P04628,Q9NPG1,ENSG00000125084,ENSG00000104290,WNT1,FZD3
1212,P41221,P34925,ENSG00000114251,ENSG00000163785,WNT5A,RYK
1213,P39905,O00451,ENSG00000168621,ENSG00000168546,GDNF,GFRA2
1214,P01584,Q9NPH3,ENSG00000125538,ENSG00000196083,IL1B,IL1RAP
1215,P58417,Q9Y4C0,ENSG00000122584,ENSG00000021645,NXPH1,NRXN3
1216,P01270,Q03431,ENSG00000152266,ENSG00000160801,PTH,PTH1R
1217,P04899,Q08828,ENSG00000114353,ENSG00000164742,GNAI2,ADCY1
1218,Q08828,P04899,ENSG00000164742,ENSG00000114353,ADCY1,GNAI2
1219,P09429,O00206,ENSG00000189403,ENSG00000136869,HMGB1,TLR4
1220,O43915,P35968,ENSG00000165197,ENSG00000128052,VEGFD,KDR
1221,P12034,P11362,ENSG00000138675,ENSG00000077782,FGF5,FGFR1
1222,O14944,Q15303,ENSG00000124882,ENSG00000178568,EREG,ERBB4
1223,O43915,P35916,ENSG00000165197,ENSG00000037280,VEGFD,FLT4
1224,P49767,P35916,ENSG00000150630,ENSG00000037280,VEGFC,FLT4
1225,P29279,O75581,ENSG00000118523,ENSG00000070018,CCN2,LRP6
1226,P29279,O75581,ENSG00000118523,ENSG00000281324,CCN2,LRP6
1227,Q13214,O14786,ENSG00000012171,ENSG00000099250,SEMA3B,NRP1
1228,P23510,P43489,ENSG00000117586,ENSG00000186827,TNFSF4,TNFRSF4
1229,P43489,P23510,ENSG00000186827,ENSG00000117586,TNFRSF4,TNFSF4
1230,Q14563,O75051,ENSG00000075213,ENSG00000076356,SEMA3A,PLXNA2
1231,Q8NFZ4,Q9HDB5,ENSG00000283859,ENSG00000021645,NLGN2,NRXN3
1232,Q8NFZ4,Q9HDB5,ENSG00000169992,ENSG00000021645,NLGN2,NRXN3
1233,Q9HDB5,Q8NFZ4,ENSG00000021645,ENSG00000283859,NRXN3,NLGN2
1234,Q9HDB5,Q8NFZ4,ENSG00000021645,ENSG00000169992,NRXN3,NLGN2
1235,Q8N2Q7,Q9HDB5,ENSG00000169760,ENSG00000021645,NLGN1,NRXN3
1236,Q9HDB5,Q8N2Q7,ENSG00000021645,ENSG00000169760,NRXN3,NLGN1
1237,Q9HDB5,Q9NZ94,ENSG00000021645,ENSG00000196338,NRXN3,NLGN3
1238,Q9NZ94,Q9HDB5,ENSG00000196338,ENSG00000021645,NLGN3,NRXN3
1239,Q15389,P35590,ENSG00000154188,ENSG00000066056,ANGPT1,TIE1
1240,P05230,P22607,ENSG00000113578,ENSG00000068078,FGF1,FGFR3
1241,P00749,Q03405,ENSG00000122861,ENSG00000011422,PLAU,PLAUR
1242,P56704,Q14332,ENSG00000154342,ENSG00000180340,WNT3A,FZD2
1243,P20396,P34981,ENSG00000170893,ENSG00000174417,TRH,TRHR
1244,P00533,Q6UW88,ENSG00000146648,ENSG00000182585,EGFR,EPGN
1245,Q6UW88,P00533,ENSG00000182585,ENSG00000146648,EPGN,EGFR
1246,P42127,P41968,ENSG00000101440,ENSG00000124089,ASIP,MC3R
1247,Q16552,Q96F46,ENSG00000112115,ENSG00000177663,IL17A,IL17RA
1248,P35225,P24394,ENSG00000169194,ENSG00000077238,IL13,IL4R
1249,P58401,Q8N2Q7,ENSG00000110076,ENSG00000169760,NRXN2,NLGN1
1250,Q8N2Q7,P58401,ENSG00000169760,ENSG00000110076,NLGN1,NRXN2
1251,P58401,Q9NZ94,ENSG00000110076,ENSG00000196338,NRXN2,NLGN3
1252,Q9NZ94,P58401,ENSG00000196338,ENSG00000110076,NLGN3,NRXN2
1253,O95150,Q93038,ENSG00000181634,ENSG00000215788,TNFSF15,TNFRSF25
1254,P00734,O00254,ENSG00000180210,ENSG00000164220,F2,F2RL2
1255,P04628,Q9H461,ENSG00000125084,ENSG00000177283,WNT1,FZD8
1256,Q13214,O60462,ENSG00000012171,ENSG00000118257,SEMA3B,NRP2
1257,P13500,P51679,ENSG00000108691,ENSG00000183813,CCL2,CCR4
1258,Q9BXY4,P31431,ENSG00000146374,ENSG00000124145,RSPO3,SDC4
1259,O60542,Q9GZZ7,ENSG00000125650,ENSG00000125861,PSPN,GFRA4
1260,Q96B86,Q92859,ENSG00000182175,ENSG00000067141,RGMA,NEO1
1261,P17693,P26715,ENSG00000237216,ENSG00000134545,HLA-G,KLRC1
1262,P17693,P26715,ENSG00000206506,ENSG00000134545,HLA-G,KLRC1
1263,P17693,P26715,ENSG00000235346,ENSG00000134545,HLA-G,KLRC1
1264,P17693,P26715,ENSG00000276051,ENSG00000134545,HLA-G,KLRC1
1265,P17693,P26715,ENSG00000204632,ENSG00000134545,HLA-G,KLRC1
1266,P17693,P26715,ENSG00000230413,ENSG00000134545,HLA-G,KLRC1
1267,P17693,P26715,ENSG00000233095,ENSG00000134545,HLA-G,KLRC1
1268,P17693,P26715,ENSG00000235680,ENSG00000134545,HLA-G,KLRC1
1269,P04083,P21462,ENSG00000135046,ENSG00000171051,ANXA1,FPR1
1270,P21462,P04083,ENSG00000171051,ENSG00000135046,FPR1,ANXA1
1271,P49767,P35968,ENSG00000150630,ENSG00000128052,VEGFC,KDR
1272,P10767,P22455,ENSG00000111241,ENSG00000160867,FGF6,FGFR4
1273,O00230,Q96LB1,ENSG00000241563,ENSG00000183695,CORT,MRGPRX2
1274,Q9Y275,Q96RJ3,ENSG00000102524,ENSG00000159958,TNFSF13B,TNFRSF13C
1275,P39905,P56159,ENSG00000168621,ENSG00000151892,GDNF,GFRA1
1276,P05112,P31785,ENSG00000113520,ENSG00000147168,IL4,IL2RG
1277,Q9Y275,O14836,ENSG00000102524,ENSG00000240505,TNFSF13B,TNFRSF13B
1278,P04114,P55157,ENSG00000084674,ENSG00000138823,APOB,MTTP
1279,P05362,P20702,ENSG00000090339,ENSG00000140678,ICAM1,ITGAX
1280,P42127,P33032,ENSG00000101440,ENSG00000176136,ASIP,MC5R
1281,P46531,Q6UY11,ENSG00000148400,ENSG00000171462,NOTCH1,DLK2
1282,Q6UY11,P46531,ENSG00000171462,ENSG00000148400,DLK2,NOTCH1
1283,P98160,Q13332,ENSG00000142798,ENSG00000105426,HSPG2,PTPRS
1284,P01303,P25929,ENSG00000122585,ENSG00000164128,NPY,NPY1R
1285,O95631,P43146,ENSG00000065320,ENSG00000187323,NTN1,DCC
1286,P63092,P47871,ENSG00000087460,ENSG00000215644,GNAS,GCGR
1287,P63092,P47871,ENSG00000087460,ENSG00000288269,GNAS,GCGR
1288,P35442,Q08722,ENSG00000186340,ENSG00000196776,THBS2,CD47
1289,Q9NZQ7,Q15116,ENSG00000120217,ENSG00000276977,CD274,PDCD1
1290,Q9NZQ7,Q15116,ENSG00000120217,ENSG00000188389,CD274,PDCD1
1291,P56703,O75581,ENSG00000277626,ENSG00000070018,WNT3,LRP6
1292,P56703,O75581,ENSG00000277626,ENSG00000281324,WNT3,LRP6
1293,P56703,O75581,ENSG00000277641,ENSG00000070018,WNT3,LRP6
1294,P56703,O75581,ENSG00000277641,ENSG00000281324,WNT3,LRP6
1295,P56703,O75581,ENSG00000108379,ENSG00000070018,WNT3,LRP6
1296,P56703,O75581,ENSG00000108379,ENSG00000281324,WNT3,LRP6
1297,P06744,Q9UKV5,ENSG00000105220,ENSG00000159461,GPI,AMFR
1298,P02649,Q92673,ENSG00000130203,ENSG00000137642,APOE,SORL1
1299,P23515,Q96FE5,ENSG00000291720,ENSG00000169783,OMG,LINGO1
1300,P23515,Q96FE5,ENSG00000126861,ENSG00000169783,OMG,LINGO1
1301,Q96FE5,P23515,ENSG00000169783,ENSG00000291720,LINGO1,OMG
1302,Q96FE5,P23515,ENSG00000169783,ENSG00000126861,LINGO1,OMG
1303,O00755,O75581,ENSG00000154764,ENSG00000070018,WNT7A,LRP6
1304,O00755,O75581,ENSG00000154764,ENSG00000281324,WNT7A,LRP6
1305,O75888,Q02223,ENSG00000161955,ENSG00000048462,TNFSF13,TNFRSF17
1306,Q92913,Q9UQD0,ENSG00000129682,ENSG00000196876,FGF13,SCN8A
1307,P09544,O75581,ENSG00000105989,ENSG00000070018,WNT2,LRP6
1308,P09544,O75581,ENSG00000105989,ENSG00000281324,WNT2,LRP6
1309,Q16661,P25092,ENSG00000044012,ENSG00000070019,GUCA2B,GUCY2C
1310,P10646,P98155,ENSG00000003436,ENSG00000147852,TFPI,VLDLR
1311,P01189,Q01718,ENSG00000115138,ENSG00000185231,POMC,MC2R
1312,P42127,Q01718,ENSG00000101440,ENSG00000185231,ASIP,MC2R
1313,P05362,P11215,ENSG00000090339,ENSG00000169896,ICAM1,ITGAM
1314,O43184,P31431,ENSG00000148848,ENSG00000124145,ADAM12,SDC4
1315,P63092,P16473,ENSG00000087460,ENSG00000165409,GNAS,TSHR
1316,P05111,Q03167,ENSG00000123999,ENSG00000069702,INHA,TGFBR3
1317,Q5JWF2,P34998,ENSG00000087460,ENSG00000276191,GNAS,CRHR1
1318,Q5JWF2,P34998,ENSG00000087460,ENSG00000278232,GNAS,CRHR1
1319,Q5JWF2,P34998,ENSG00000087460,ENSG00000120088,GNAS,CRHR1
1320,Q9BX66,P06213,ENSG00000095637,ENSG00000171105,SORBS1,INSR
1321,P27797,Q07954,ENSG00000179218,ENSG00000123384,CALR,LRP1
1322,P01112,P06213,ENSG00000276536,ENSG00000171105,HRAS,INSR
1323,P01112,P06213,ENSG00000174775,ENSG00000171105,HRAS,INSR
1324,O43184,P05556,ENSG00000148848,ENSG00000150093,ADAM12,ITGB1
1325,Q13352,P18084,ENSG00000142856,ENSG00000082781,ITGB3BP,ITGB5
1326,P01112,Q03135,ENSG00000276536,ENSG00000105974,HRAS,CAV1
1327,P01112,Q03135,ENSG00000174775,ENSG00000105974,HRAS,CAV1
1328,Q13352,P05106,ENSG00000142856,ENSG00000259207,ITGB3BP,ITGB3
1329,P27797,P06756,ENSG00000179218,ENSG00000138448,CALR,ITGAV
1330,P27797,P26006,ENSG00000179218,ENSG00000005884,CALR,ITGA3
1331,P84077,P06213,ENSG00000143761,ENSG00000171105,ARF1,INSR
1332,P04114,P98164,ENSG00000084674,ENSG00000081479,APOB,LRP2
1333,P04114,Q86X29,ENSG00000084674,ENSG00000105699,APOB,LSR
1334,P02649,P01130,ENSG00000130203,ENSG00000130164,APOE,LDLR
1335,P02649,Q86X29,ENSG00000130203,ENSG00000105699,APOE,LSR
1336,P02649,Q8WTV0,ENSG00000130203,ENSG00000073060,APOE,SCARB1
1337,P35070,P21860,ENSG00000174808,ENSG00000065361,BTC,ERBB3
1338,Q7Z6A9,Q92956,ENSG00000186265,ENSG00000273936,BTLA,TNFRSF14
1339,Q7Z6A9,Q92956,ENSG00000186265,ENSG00000157873,BTLA,TNFRSF14
1340,Q92956,Q7Z6A9,ENSG00000273936,ENSG00000186265,TNFRSF14,BTLA
1341,Q92956,Q7Z6A9,ENSG00000157873,ENSG00000186265,TNFRSF14,BTLA
1342,Q7Z6A9,Q7Z7D3,ENSG00000186265,ENSG00000134258,BTLA,VTCN1
1343,Q7Z7D3,Q7Z6A9,ENSG00000134258,ENSG00000186265,VTCN1,BTLA
1344,P01024,P17927,ENSG00000125730,ENSG00000203710,C3,CR1
1345,P04003,P25942,ENSG00000123838,ENSG00000101017,C4BPA,CD40
1346,P51671,O00590,ENSG00000172156,ENSG00000144648,CCL11,ACKR2
1347,Q99616,O00590,ENSG00000181374,ENSG00000144648,CCL13,ACKR2
1348,Q16627,O00590,ENSG00000276409,ENSG00000144648,CCL14,ACKR2
1349,Q16627,O00590,ENSG00000277236,ENSG00000144648,CCL14,ACKR2
1350,O15467,P32246,ENSG00000275095,ENSG00000163823,CCL16,CCR1
1351,O15467,P32246,ENSG00000275152,ENSG00000163823,CCL16,CCR1
1352,O15467,P41597,ENSG00000275095,ENSG00000121807,CCL16,CCR2
1353,O15467,P41597,ENSG00000275152,ENSG00000121807,CCL16,CCR2
1354,O15467,P51681,ENSG00000275095,ENSG00000160791,CCL16,CCR5
1355,O15467,P51681,ENSG00000275152,ENSG00000160791,CCL16,CCR5
1356,O15467,P51685,ENSG00000275095,ENSG00000179934,CCL16,CCR8
1357,O15467,P51685,ENSG00000275152,ENSG00000179934,CCL16,CCR8
1358,Q92583,Q16570,ENSG00000102970,ENSG00000213088,CCL17,ACKR1
1359,P55774,P51685,ENSG00000278006,ENSG00000179934,CCL18,CCR8
1360,P55774,P51685,ENSG00000275385,ENSG00000179934,CCL18,CCR8
1361,P55774,P51685,ENSG00000278167,ENSG00000179934,CCL18,CCR8
1362,P13500,Q16570,ENSG00000108691,ENSG00000213088,CCL2,ACKR1
1363,P13500,O00590,ENSG00000108691,ENSG00000144648,CCL2,ACKR2
1364,O00626,O00590,ENSG00000102962,ENSG00000144648,CCL22,ACKR2
1365,P55773,P25090,ENSG00000274736,ENSG00000171049,CCL23,FPR2
1366,P55773,P25090,ENSG00000276114,ENSG00000171049,CCL23,FPR2
1367,Q9Y258,P32246,ENSG00000006606,ENSG00000163823,CCL26,CCR1
1368,Q9Y258,P49238,ENSG00000006606,ENSG00000168329,CCL26,CX3CR1
1369,Q9NRJ3,P46092,ENSG00000151882,ENSG00000184451,CCL28,CCR10
1370,Q9NRJ3,P51677,ENSG00000151882,ENSG00000183625,CCL28,CCR3
1371,P10147,O00590,ENSG00000274221,ENSG00000144648,CCL3,ACKR2
1372,P10147,O00590,ENSG00000277632,ENSG00000144648,CCL3,ACKR2
1373,P10147,O00590,ENSG00000278567,ENSG00000144648,CCL3,ACKR2
1374,P16619,O00590,ENSG00000277336,ENSG00000144648,CCL3L3,ACKR2
1375,P16619,O00590,ENSG00000277768,ENSG00000144648,CCL3L3,ACKR2
1376,P16619,O00590,ENSG00000276085,ENSG00000144648,CCL3L3,ACKR2
1377,P16619,O00590,ENSG00000293545,ENSG00000144648,CCL3L3,ACKR2
1378,P16619,P32246,ENSG00000277336,ENSG00000163823,CCL3L3,CCR1
1379,P16619,P32246,ENSG00000277768,ENSG00000163823,CCL3L3,CCR1
1380,P16619,P32246,ENSG00000276085,ENSG00000163823,CCL3L3,CCR1
1381,P16619,P32246,ENSG00000293545,ENSG00000163823,CCL3L3,CCR1
1382,P16619,P51677,ENSG00000277336,ENSG00000183625,CCL3L3,CCR3
1383,P16619,P51677,ENSG00000277768,ENSG00000183625,CCL3L3,CCR3
1384,P16619,P51677,ENSG00000276085,ENSG00000183625,CCL3L3,CCR3
1385,P16619,P51677,ENSG00000293545,ENSG00000183625,CCL3L3,CCR3
1386,P13236,O00590,ENSG00000275302,ENSG00000144648,CCL4,ACKR2
1387,P13236,O00590,ENSG00000277943,ENSG00000144648,CCL4,ACKR2
1388,P13236,O00590,ENSG00000275824,ENSG00000144648,CCL4,ACKR2
1389,P13501,Q16570,ENSG00000274233,ENSG00000213088,CCL5,ACKR1
1390,P13501,Q16570,ENSG00000271503,ENSG00000213088,CCL5,ACKR1
1391,P13501,O00590,ENSG00000274233,ENSG00000144648,CCL5,ACKR2
1392,P13501,O00590,ENSG00000271503,ENSG00000144648,CCL5,ACKR2
1393,P13501,P18827,ENSG00000274233,ENSG00000115884,CCL5,SDC1
1394,P13501,P18827,ENSG00000271503,ENSG00000115884,CCL5,SDC1
1395,P13501,P31431,ENSG00000274233,ENSG00000124145,CCL5,SDC4
1396,P13501,P31431,ENSG00000271503,ENSG00000124145,CCL5,SDC4
1397,P80098,O00590,ENSG00000108688,ENSG00000144648,CCL7,ACKR2
1398,P80075,O00590,ENSG00000108700,ENSG00000144648,CCL8,ACKR2
1399,P80075,P32246,ENSG00000108700,ENSG00000163823,CCL8,CCR1
1400,P25063,Q96LC7,ENSG00000272398,ENSG00000142512,CD24,SIGLEC10
1401,Q9P1W8,Q08722,ENSG00000089012,ENSG00000196776,SIRPG,CD47
1402,P09326,P06729,ENSG00000117091,ENSG00000116824,CD48,CD2
1403,P09326,Q9BZW8,ENSG00000117091,ENSG00000122223,CD48,CD244
1404,P19256,P06729,ENSG00000116815,ENSG00000116824,CD58,CD2
1405,P00533,P12830,ENSG00000146648,ENSG00000039068,EGFR,CDH1
1406,P12830,P00533,ENSG00000039068,ENSG00000146648,CDH1,EGFR
1407,P12830,Q96E93,ENSG00000039068,ENSG00000139187,CDH1,KLRG1
1408,P02452,Q16832,ENSG00000108821,ENSG00000162733,COL1A1,DDR2
1409,P02458,Q08345,ENSG00000139219,ENSG00000215522,COL2A1,DDR1
